,Sentence,Label
100,lc=1033&amp;id=24002&amp;ru=http%3a%2f%2fgroups%2emsn%2ecom%2fthewetpatch%2f%5fhomepage%2emsnw%3f%26pps%3dk&amp;tw=43200&amp;kv=5&amp;ct=1079499482&amp;cb=wscontext%3d%26wscommname%3dthe%252%30wet%252%30patch%26wsredir%3dhttp%253a%252f%252fgroups%252emsn%252ecom%252fthewetpatch%252f%255fhomepage%252emsnw%253f&amp;kpp=3&amp;ver=2.1.0173.1&amp;tpf=28d4f14507e4b33cb67a7666587205c1,0
101,ring=exotic_dance;action=info,0
102,ring=womenzerotica;action=list,0
103,ring=carla&amp;list,0
104,ring=iamwoman,0
105,ring=womynspoetry,0
106,q=pantheon,0
107,ring=bdsmartring;action=info;b=,0
108,ring=knottymoon;action=list,0
109,ring=spanking;action=list,0
110,ring=bbwbdsm,0
111,ring=familydiscipline,0
112,topic=7&amp;subtopic=11&amp;article=65,0
113,article_id=zzzuzruzglc&amp;sub_cat=355,0
114,article_id=28336,0
115,ring=stoppedos,0
116,rd=1,0
117,dest=%2fgroup%2fthecastersclub%2f,0
118,ring=giantess,0
119,dest=%2fgroup%2fhankyssneeze%2f,0
120,ring=erotichosering;action=list,0
121,ring=girdlering,0
122,ring=knottypantys;action=list,0
123,ring=overalls,0
124,ring=seductivesensual,0
125,ring=edgeplay&amp;list,0
126,ring=m4mleather&amp;list,0
127,ring=gaybondage,0
128,ring=seeme;list,0
129,ring=2968;list,0
130,ring=fhg;list,0
131,ring=raunch;list,0
132,ring=satbc;list,0
133,ring=akageckoring;list,0
134,ring=bareback;list,0
135,ring=gmstslv;list,0
136,ring=glbtsm;list,0
137,ring=suitandtie;list,0
138,ring=bearbutt;list,0
139,ring=bicafe_hangout;list,0
140,ring=ssrb88;list,0
141,ring=gaychub;list,0
142,ring=blatino;list,0
143,ring=dunal;list,0
144,ring=gac;list,0
145,ring=gcnf;list,0
146,ring=gaybondage;list,0
147,ring=gayb;list,0
148,ring=gaycowboy;list,0
149,ring=gaydildoring;list,0
150,ring=ghf;list,0
151,ring=gaylatin;list,0
152,ring=feet;list,0
153,ring=gaymilitary;list,0
154,ring=gmaring;list,0
155,ring=gaypornstars;list,0
156,ring=gsamr69;list,0
157,ring=gaymasterslaves;list,0
158,ring=gaymichigan13;list,0
159,ring=ggr;list,0
160,ring=koreagay;list,0
161,ring=qcr;list,0
162,ring=underwear;list,0
163,ring=prisonsex;list,0
164,ring=realmen;list,0
165,ring=sgguys;list,0
166,ring=roughstock;list,0
167,ring=swegay;list,0
168,ring=bootsring;list,0
169,ring=queercreative;list,0
170,ring=ugas;list,0
171,ring=wadersring;list,0
172,ring=masseur;list,0
173,ring=filthy;list,0
174,ring=88665896;list,0
175,ring=tdh;list,0
176,ring=gaydating,0
177,ring=tguniv;list,0
178,ring=tgchristians;list,0
179,ring=cdwr;list,0
180,user=friquisme,0
181,shopid=34,0
182,lg=de,0
183,pid=32,0
184,pid=31,0
185,action=index,0
186,action=index&amp;entryid=1097366362&amp;user=user_306723&amp;onsearch=1,0
187,htx=/germanfoot/main,0
188,id=47939,0
189,id=zoofiliafemenina,0
190,t=25286,0
191,op=modload&amp;name=news&amp;file=article&amp;sid=6,0
192,f=2,0
193,main_page=index&amp;language=fr,0
194,foldername=johnstark&amp;passok=yes,0
195,s=e94aefc976e0ef08e275706fb2204d7e&amp;p=574950&amp;postcount=218,0
196,9999,0
197,lang=jp&amp;seite=home,0
198,i=zenra,0
199,newlang=nor,0
200,uf=1&amp;local=1&amp;mnit=1,0
201,storytopic=4,0
202,forum=2&amp;topic=2396&amp;start=232&amp;limit=1,0
203,i0=asciiart&amp;i1=nude,0
204,scripts&amp;id=eyeswideshut,0
205,usernum=3572555672,0
206,dest=%2fgroup%2fpornoklubi%2f,0
207,do=catalog/show1&amp;p=3,0
208,categories_id=21,0
209,idr=9,0
210,kategorie=eros,0
211,tema=35/,0
212,kod=nmen,0
213,ring=innermoon;list,0
214,aid=animecels&amp;uid=188&amp;cmd=index,0
215,ring=pencilboard,0
216,sid=150,0
217,ring=ancon,0
218,size=1&amp;exif=&amp;page=all,0
219,ring=millennium,0
220,ring=vafandub,0
221,ring=kitsune;list,0
222,ring=vahope,0
223,ring=animetc,0
224,index&amp;ring=fansub_traders,0
225,ring=fansubs,0
226,ring=animeart&amp;list,0
227,ring=fanart&amp;list,0
228,ring=ffmlring,0
229,ring=fanfiction&amp;list,0
230,ring=animeartgoddess,0
231,ring=fanwork,0
232,ring=shoujo,0
233,usernum=3614242019&amp;action=list&amp;siteid=36217,0
234,ring=magicalgirl,0
235,ring=robots,0
236,ring=mecha,0
237,ring=animeskins,0
238,ring=animewebgraphic,0
239,categoryid=1,0
240,2,0
241,ring=midorikawahikaru,0
242,sid=12,0
243,1029432553140,0
244,ring=akira;list,0
245,reviewid=3306,0
246,id=4758,0
247,section=reviews&amp;id=4374,0
248,reviews/area88.html,0
249,t/j/a/series/s/191/main,0
250,idx=841,0
251,t/j/a/series/s/188/main,0
252,review=187,0
253,t/j/a/series/s/125/main,0
254,option=com_content&amp;task=category&amp;sectionid=9&amp;id=79&amp;itemid=77,0
255,ring=bakuretsu&amp;list,0
256,module=prodreviews&amp;func=showcontent&amp;id=292,0
257,t/j/a/series/s/187/main,0
258,t/j/a/series/s/127/main,0
259,ring=iadoresyaoranand,0
260,ring=cardcaptorsliand&amp;list,0
261,ring=sakurafans&amp;list,0
262,ring=syaoranring,0
263,ring=cardcaptorsfanf2,0
264,ring=kerosclowcardsof&amp;list,0
265,ring=maguscardcaptorr&amp;list,0
266,t/j/a/series/s/198/main,0
267,t/j/a/series/s/1504/main,0
268,ring=digicharat&amp;list,0
269,act=idx,0
270,env=-inlink/index:m368-11-1-3-s&amp;reset=1,0
271,1019275156290,0
272,t/j/a/series/s/118/main,0
273,ring=tokiya&amp;list,0
274,user=furuba,0
275,series=4&amp;page=11&amp;mode=page,0
276,ring=ryuuen&amp;list,0
277,ring=lekkashien,0
278,ring=fy,0
279,ring=1722,0
280,ring=chichiri,0
281,ring=fushigiyuugi&amp;list,0
282,ring=fyfanfics&amp;list,0
283,ring=nuriko&amp;list,0
284,ring=mtlovering&amp;list,0
285,ring=gateway&amp;list,0
286,id=111,0
287,ring=kintaro&amp;id=1&amp;list,0
288,env=-inlink/index:m1326-1-1-3-s&amp;reset=1,0
289,user=billion_dlr_boy,0
290,ring=flyingaway1x22x1,0
291,ring=antirelena,0
292,ring=nonyaoigwing,0
293,ring=gundam,0
294,ring=zeonunion;action=info;b=,0
295,ring=gscwebring,0
296,t/j/a/series/s/210/main,0
297,id=157,0
298,idx=205&amp;page=1&amp;viewtype=title&amp;initialkey=h,0
299,id=504,0
300,id=124,0
301,t/j/a/series/s/183/main,0
302,ring=hunterxhuntercir,0
303,t/j/a/series/s/211/main,0
304,ring=kaitoujeanne&amp;list,0
305,ring=karekano&amp;list,0
306,pid=41,0
307,cid=3201,0
308,ring=kimba&amp;index,0
309,id=161,0
310,ring=skycastle&amp;list,0
311,ring=logh;list,0
312,e,0
313,ring=mahoutsukaitai;list,0
314,anime=188,0
315,t/j/a/series/s/14/main,0
316,cid=3234,0
317,ring=mcogring,0
318,id=anime/naruto/narutomain,0
319,mforum=thekyuubiscurse,0
320,ring=asukastrikes,0
321,id=262,0
322,id=276,0
323,t/j/a/series/s/369/main,0
324,anime=pokemon,0
325,cid=2117,0
326,id=pokemon1.htm,0
327,id=pokemon2.htm,0
328,princess+mononoke,0
329,cid=1737,0
330,aid=/19991029/reviews/910290303/1023,0
331,ring=pmring&amp;list,0
332,id=320,0
333,seriesid=7878,0
334,ring=ofranma,0
335,ring=raakfevr&amp;list,0
336,ring=ranmance&amp;list,0
337,ring=raakfevr,0
338,1018691303528,0
339,ring=roseduelists,0
340,ring=skutena,0
341,id=466,0
342,id=682,0
343,id=526,0
344,contentid=10868,0
345,module=prodreviews&amp;func=showcontent&amp;id=341,0
346,id=399,0
347,contentid=6343,0
348,id=168,0
349,id=292,0
350,module=prodreviews&amp;func=showcontent&amp;id=340,0
351,id=467,0
352,num=25,0
353,module=prodreviews&amp;func=showcontent&amp;id=183,0
354,user=ravagdinnocence,0
355,987481662000,0
356,ring=berubara&amp;list,0
357,ring=rkfanfic,0
358,option=com_ewriting&amp;itemid=32,0
359,cat=29,0
360,ring=himurakenshinweb&amp;id=2&amp;hub,0
361,ring=kenkaoring,0
362,ring=saberj&amp;list,0
363,cat=5,0
364,ring=sailormooncardga&amp;id=1&amp;hub,0
365,ring=smpeace,0
366,ring=senshidreams,0
367,ring=sailorring,0
368,ring=eternalsailormoon,0
369,ring=asmring,0
370,ring=smlives,0
371,ring=neptunering,0
372,ring=crystalconnect,0
373,ring=crystalmoon,0
374,ring=sailorpluto,0
375,ring=efring,0
376,ring=nmoon,0
377,ring=galaxyofbishoujo,0
378,ring=guardian,0
379,ring=smoonmanga,0
380,ring=melon,0
381,ring=serenity17,0
382,ring=sailorx,0
383,ring=jupe,0
384,ring=millenium,0
385,ring=dreamsmring,0
386,ring=sailorslive,0
387,ring=smlovers,0
388,ring=moon16,0
389,ring=msanctuary,0
390,ring=moonies,0
391,ring=hany,0
392,ring=smrings,0
393,ring=diana,0
394,ring=smuniverse,0
395,ring=sailorandromeda,0
396,ring=unitering,0
397,ring=serenitypower,0
398,ring=dreamersmoon,0
399,ring=smsound&amp;list,0
400,ring=smcw&amp;index,0
401,ring=sailormoonthunt,0
402,ring=scoutawd,0
403,ring=soswebring,0
404,ring=chibichibifans,0
405,ring=chibichi,0
406,ring=projcure,0
407,ring=bwsmfc,0
408,ring=obsessedfc,0
409,ring=michiruka,0
410,ring=darienserena,0
411,ring=be83398,0
412,ring=sicoi&amp;index,0
413,ring=drdoom,0
414,ring=ficunite;index,0
415,ring=fanatic,0
416,ring=smficring,0
417,ring=sgreihino,0
418,ring=123445679&amp;index,0
419,ring=starspec&amp;index,0
420,ring=jupiterring&amp;list,0
421,ring=jupiter&amp;list,0
422,ring=reichansring&amp;list,0
423,ring=reverence&amp;list,0
424,ring=blaise&amp;list,0
425,ring=inner5&amp;index,0
426,ring=satr,0
427,ring=ringofpluto&amp;index,0
428,ring=cella&amp;index,0
429,ring=glaive&amp;index,0
430,ring=michiru&amp;index,0
431,ring=setsuna&amp;index,0
432,ring=plutodementia&amp;index,0
433,ring=sailorsaturnthev&amp;list,0
434,ring=monkichi&amp;index,0
435,ring=anotherstory&amp;list,0
436,ring=senshirpg;list,0
437,ring=seiyachan&amp;index,0
438,ring=starsring&amp;list,0
439,ring=vesves;index,0
440,ring=galaxia;index,0
441,ring=ringofevil;index,0
442,ring=mimete;index,0
443,ring=sttail&amp;id=1&amp;list,0
444,ring=sumire&amp;list,0
445,usernum=3200268504&amp;action=list,0
446,id=166,0
447,id=24,0
448,ring=shurato&amp;list,0
449,ring=sunfire,0
450,ring=theslayergang;list,0
451,ring=rosencrantz,0
452,ring=zelgadis,0
453,id=1772,0
454,sid=127,0
455,sid=122,0
456,movie=5714,0
457,article_no=992,0
458,id=221,0
459,aid=/20020920/reviews/209200306/1023,0
460,t/j/a/series/s/270/main,0
461,t/j/a/series/s/242/main,0
462,id=377,0
463,id=919,0
464,ring=qwring,0
465,id=94,0
466,id=352,0
467,ring=badguys&amp;list,0
468,ring=nastalgia;list,0
469,ring=klglsring&amp;list,0
470,ring=voltronsites&amp;list,0
471,ring=voltfics&amp;list,0
472,t/j/a/series/s/82/main,0
473,ring=rabidfarfiefangi,0
474,ring=botan;list,0
475,ring=yyhff,0
476,ring=catgirl&amp;list,0
477,ring=animecentral,0
478,ring=animev,0
479,ring=anime29,0
480,ring=anicards,0
481,ring=animedomain,0
482,ring=dogwood,0
483,ring=animesweets,0
484,ring=ringani,0
485,ring=shampysanimepals,0
486,ring=animecanada,0
487,ring=lodoss,0
488,ring=hitsgalleria,0
489,ring=cabbitlove,0
490,ring=nroar,0
491,ring=fansitesfansubs,0
492,ring=ryogaring,0
493,ring=selenitygardens,0
494,ring=anime3100,0
495,ring=amie&amp;list,0
496,ring=animemvs,0
497,ring=alliance99,0
498,ring=boyluv&amp;list,0
499,id=2058784,0
500,page=gr&amp;grid=3822,0
501,theme=cartoons,0
502,ring=heros,0
503,ring=superheroes,0
504,ring=2sd,0
505,propertyid=46,0
506,prodid=661,0
507,topic=aeon%20flux,0
508,propertyid=691,0
509,page=television&amp;pid=tv-6f99fa7c/animaniacs,0
510,ring=warners,0
511,s=&amp;forumid=2,0
512,l=wss&amp;r=http://www.wbstore.com/store/wbss.asp,0
513,p=animaniacs&amp;z=2&amp;acc=us&amp;alocale=1us&amp;hc=0&amp;hs=0,0
514,p=toani,0
515,1anim3,0
516,release_num=50251167,0
517,ring=animaniacs,0
518,usernum=1614441001&amp;action=list&amp;siteid=,0
519,v=hou9bx-vt1s,0
520,s=&amp;forumid=9,0
521,cid=2566,0
522,prodid=501,0
523,ring=arkham,0
524,ring=batgirl,0
525,ring=dark_knight,0
526,ring=catwoman,0
527,ring=arazel,0
528,ring=beavbutt,0
529,ring=bkbutt,0
530,channel=647&amp;format=tv&amp;theme=guide,0
531,ring=bettyboop,0
532,ring=bettyboop8,0
533,ring=boopvsbarb,0
534,ring=bettyboopworld,0
535,ring=boopin,0
536,ring=jadelynsbikermic&amp;id=1&amp;hub,0
537,cid=1597,0
538,cid=1773,0
539,cid=1596,0
540,prodid=891,0
541,op=modload&amp;name=reviews&amp;file=index&amp;req=showcontent&amp;id=74&amp;postnukesid=4ffd83f6a83bed55a04509c8a5d16c90,0
542,ring=videoland,0
543,ring=carebearkingdom,0
544,ring=mylittlecarebear,0
545,ring=hackwrench;action=list,0
546,v=_6n3giozpbi,0
547,id=2060921,0
548,articleid=detention.cfm,0
549,cat=5877,0
550,propertyid=558,0
551,ring=katz,0
552,3052,0
553,channel=110&amp;format=tv&amp;theme=guide,0
554,id=6830,0
555,prodid=86,0
556,ring=freakazoid_ring,0
557,id=english&amp;lang=eng,0
558,aff_id=0&amp;this_cat=television&amp;action=page&amp;obj_id=32888&amp;type_id=270286&amp;cat_id=270355&amp;sub_id=0,0
559,categoryid=14&amp;cs=1&amp;s=h&amp;p=0,0
560,q=n2rlytjkzgywnme5njrjntlmy2rizwuxmzg4ywiwmgq=,0
561,entryid=397361,0
562,vnu_content_id=1002726749,0
563,ring=galranger&amp;list,0
564,ring=uniz,0
565,ring=gargart,0
566,ring=gargs,0
567,ring=gargoylesrule,0
568,pick=98,0
569,storyid=4135154,0
570,ring=hello_kitty,0
571,ring=jxd,0
572,ring=sanrio2ooo,0
573,ring=winki,0
574,ring=hellokittypage,0
575,ring=unofficialhellok,0
576,ring=hellokittycentra,0
577,propertyid=146,0
578,prodid=608,0
579,ring=invaderzim;action=list,0
580,2655,0
581,lid=45&amp;qid=8167&amp;ppp=10,0
582,ring=ponypieces,0
583,ring=lofty,0
584,ring=mlp,0
585,ring=mylittleponytrad,0
586,cid=1590,0
587,propertyid=740,0
588,ring=pinkpanther,0
589,s=&amp;threadid=2960,0
590,prodid=209,0
591,id=15051&amp;d=1,0
592,ring=pinky,0
593,channel=625&amp;format=tv&amp;theme=cartoons,0
594,ring=popplesring,0
595,prodid=486,0
596,ring=gb,0
597,propertyid=49,0
598,ring=chucklove;list,0
599,ring=rugring;index,0
600,blogid=29&amp;entry_id=22095,0
601,ring=garf,0
602,ring=scoobring,0
603,show_id=45&amp;csource=showlist,0
604,sid=6,0
605,ring=simpsons1998,0
606,ring=sgalore,0
607,ring=samp,0
608,ring=intersimp,0
609,ring=amazingsimpsonsw,0
610,ring=sfield,0
611,ring=andrdngn,0
612,ring=simpring,0
613,ring=sector7g,0
614,2753,0
615,ring=ghostplanet,0
616,query=spongebob%20squarepants,0
617,c=1&amp;aid=12489&amp;u=0,0
618,frompage=sitemap,0
619,ring=strawberryshortc,0
620,f_id=231,0
621,characters/teacherspet/teacherspetback=main&amp;submenu=shows,0
622,ring=tmntfic&amp;list,0
623,ring=tmnt;action=info,0
624,user_id=id&amp;file=splash5.htm,0
625,ring=newtickwebring&amp;id=1&amp;hub,0
626,ring=braktick,0
627,s&amp;c&amp;war&amp;058&amp;1,0
628,g=warner_bros_%2ftelevision%2ftiny_toons%2f&amp;d=1,0
629,board=tf,0
630,cid=810,0
631,min=15,0
632,page=news,0
633,forumid=15,0
634,s=f8a38e64a4776ac1c3171b291105f696&amp;f=18,0
635,f=3,0
636,page=cs_instructions&amp;letter=t,0
637,f_id=385,0
638,ticker=has&amp;script=411&amp;layout=-6&amp;item_id=421174,0
639,review=714,0
640,ring=bigbot;index,0
641,ring=tf1&amp;list,0
642,ring=decepticon&amp;list,0
643,ring=crossroadsattheo,0
644,ring=tfring&amp;list,0
645,ring=gaoct&amp;list,0
646,ring=tfinnercircle&amp;list,0
647,ring=robots&amp;list,0
648,ring=rodimus&amp;list,0
649,ring=transfans&amp;list,0
650,ring=transformers&amp;list,0
651,ring=tfrage&amp;list,0
652,ring=bbtff&amp;list,0
653,ring=norman&amp;list,0
654,ring=primuscomics&amp;list,0
655,f=390,0
656,mode=docview&amp;view=trapdoor,0
657,ring=wgring,0
658,characters/pooh/poohback=main&amp;submenu=shows,0
659,ring=eeyore&amp;id=21&amp;hub,0
660,ring=piglet&amp;id=94&amp;hub,0
661,ring=fopring&amp;id=323&amp;hub,0
662,v=dgtexothl7a,0
663,ring=sonicknux&amp;list,0
664,ring=talespin,0
665,ring=tails&amp;list,0
666,ring=otterden,0
667,ring=80scartoons,0
668,ring=galranger,0
669,ring=hyperknuckles,0
670,ring=powerpuffring,0
671,ring=garfield25&amp;list,0
672,ring=snoopy2&amp;list,0
673,ring=sonic,0
674,id=2&amp;phpsessid=2db51363ac6b538315329ac90fcf6faa,0
675,ltype=cat&amp;category1=films,0
676,cid=1746,0
677,aid=/19910712/reviews/107120301/1023,0
678,t=47830,0
679,cid=1895,0
680,cid=1850,0
681,title=antz,0
682,id=38,0
683,cid=3207,0
684,title=buster+and+chauncey's+silent+night,0
685,cid=553,0
686,cid=2205,0
687,aid=/20000623/reviews/6230302/1023,0
688,aid=/19871120/reviews/711200301/1023,0
689,cid=2129,0
690,tk=bc.1.5,0
691,id=129,0
692,cid=3161,0
693,aid=/19901005/reviews/10050304/1023,0
694,d=hv&amp;id=1800021642&amp;cf=info,0
695,id=fantasia2000.htm,0
696,id=365,0
697,id=55,0
698,p=107&amp;more=1,0
699,mode=previews,0
700,cid=574,0
701,cid=1736,0
702,setup_file=lotrnews2.setup&amp;category=lotr&amp;topic=5&amp;show_article=108,0
703,id=491,0
704,id=howlsmovingcastle.htm,0
705,aid=/20050609/reviews/50601002/1023,0
706,id=4166,0
707,id=9739,0
708,cid=1566,0
709,d=hv&amp;id=1808405432&amp;cf=info,0
710,aid=/20041104/reviews/41006004/,0
711,id=261,0
712,d=hv&amp;cf=info&amp;id=1800019559,0
713,release_num=50251274,0
714,release_num=50251220,0
715,release_num=50250995,0
716,release_num=50250546,0
717,release_num=50250545,0
718,newsitem_no=1675,0
719,newsitem_no=1681,0
720,newsitem_no=1548,0
721,newsitem_no=1519,0
722,newsitem_no=1377,0
723,id=4272,0
724,id=4141,0
725,iron+giant,0
726,cid=1388,0
727,aid=/19990806/reviews/908060303/1023,0
728,p=981,0
729,id=4103,0
730,id=3807,0
731,id=4099,0
732,id=2960,0
733,id=4081,0
734,_requestid=86429&amp;flashinstalled=true&amp;flashversion=5&amp;timezone=-3,0
735,cid=1063,0
736,cid=2001,0
737,cid=756,0
738,cid=3047,0
739,location=site&amp;load=view.php&amp;zone=movie&amp;cat=010%40the_lion_king&amp;dir=010%40the_lion_king&amp;page=010%40the_movie,0
740,aid=/20011102/reviews/111020303/1023,0
741,title=mulan,0
742,id=76,0
743,aff_id=0&amp;this_cat=movies&amp;action=page&amp;obj_id=28500,0
744,file=//chronicle/archive/1995/04/14/dd39097.dtl,0
745,cid=1696,0
746,vnu_content_id=1000683252,0
747,cid=653,0
748,&amp;rid=9381,0
749,cid=2899,0
750,cid=2648,0
751,cid=836,0
752,d=hv&amp;id=1808405841&amp;cf=info,0
753,id=218,0
754,d=hv&amp;cf=info&amp;id=1804383585,0
755,id=323,0
756,cid=3130,0
757,d=hv&amp;cf=trailer&amp;id=1808405878&amp;%20;intl=us,0
758,d=hv&amp;id=1808405886&amp;cf=info,0
759,cid=1311,0
760,cp=sal&amp;dn=110,0
761,page=daily&amp;id=toystory2.htm,0
762,cid=1733,0
763,id=4490,0
764,p=1081,0
765,f=21,0
766,id=182,0
767,q=cars,0
768,pageid=1056,0
769,actorid=1005,0
770,actorid=1009,0
771,d=hc&amp;cf=gen&amp;id=1800064687&amp;intl=us,0
772,p=avg&amp;sql=b1572,0
773,c=191857,0
774,actorid=1027,0
775,newsitem_no=3598,0
776,newsitem_no=2485,0
777,seriesid=17204,0
778,actorid=1097,0
779,actorid=1100,0
780,sid=123,0
781,actorid=1000,0
782,newsitem_no=1720,0
783,actorid=1109,0
784,page=gr&amp;grid=100,0
785,actorid=1113,0
786,http://hitcomedy.com/act/demento/daffyducksrhapsody.html,0
787,actorid=1288,0
788,actorid=1206,0
789,option=com_speakers&amp;task=view&amp;site=1&amp;id=5&amp;itemid=47&amp;contact_id=10,0
790,menu=books&amp;pagedef=/books/interviews/show.htm&amp;data=cartwright,0
791,ltype=top&amp;newsitem_no=5362,0
792,actorid=1651,0
793,actorid=2222,0
794,actorid=1268,0
795,id=5822,0
796,sid=6614,0
797,id=17378,0
798,id=102824,0
799,ms=2&amp;uq=jim%20cummings,0
800,actorid=1002,0
801,prodid=39,0
802,board=general&amp;action=display&amp;thread=3,0
803,prodid=175,0
804,prodid=2,0
805,prodid=181,0
806,prodid=1157,0
807,actorid=1290,0
808,actorid=2223,0
809,f=8,0
810,action=calendarviewall,0
811,v=42&amp;pos=,0
812,actorid=1251,0
813,slug=voic29&amp;date=20000629,0
814,actorid=1133,0
815,/act/freberg/,0
816,actorid=1248,0
817,op=voic,0
818,actorid=2148,0
819,actorid=1220,0
820,page=gr&amp;grid=2980,0
821,z=y&amp;ffld=n,0
822,sid=140,0
823,ltype=search&amp;sval=tom+kenny&amp;article_no=1833,0
824,actorid=1301,0
825,actorid=1219,0
826,actorid=2251,0
827,actorid=2260,0
828,page=gr&amp;grid=4779,0
829,actorid=2663,0
830,actorid=1001,0
831,option=com_speakers&amp;task=view&amp;site=1&amp;id=5&amp;itemid=47&amp;contact_id=334,0
832,id=5,0
833,pg=content&amp;pn=3&amp;bt=1&amp;action=w,0
834,game=meatballs&amp;gameid=osm109&amp;return=main,0
835,game=bananas&amp;gameid=osm102&amp;return=main,0
836,ltype=pageone&amp;article_no=225,0
837,actorid=1563,0
838,d=hc&amp;id=1800021273&amp;cf=gen&amp;intl=us,0
839,actorid=1207,0
840,actorid=2369,0
841,actorid=1204,0
842,actorid=1073,0
843,actorid=1215,0
844,contentid=157016,0
845,artistid=1040003,0
846,contentid=163334,0
847,src=redirsearch&amp;artist=cree+summer,0
848,contentid=8584,0
849,actorid=2243,0
850,actorid=1195,0
851,/cartoons/52/,0
852,ring=anim,0
853,ring=cartoonists&amp;list,0
854,ring=animationonline,0
855,ring=thesdwebring,0
856,ring=animafilms,0
857,sid=&amp;ring=animatorswebring&amp;id=&amp;hub,0
858,date=2001-04-16,0
859,newsitem_no=1635,0
860,ltype=nl,0
861,a=17&amp;b=2,0
862,pageid=289,0
863,site_id=12,0
864,website_key=47&amp;category_key=134&amp;page_key=326,0
865,recordid=ced328a7-48d2-440e-8a2b1a62ba8b184c,0
866,pid=229,0
867,eid=116,0
868,propertyid=18,0
869,folder_id=179614,0
870,i_pageid=15845,0
871,articleid=624,0
872,site_id=16,0
873,value=1193,0
874,lightid=187,0
875,value=440,0
876,value=439,0
877,stateid=17,0
878,page_id=533,0
879,value=432,0
880,value=782,0
881,value=436,0
882,value=3338,0
883,value=363,0
884,value=365,0
885,value=367,0
886,value=1729,0
887,value=433,0
888,value=374,0
889,value=364,0
890,value=480,0
891,value=373,0
892,value=376,0
893,value=371,0
894,value=435,0
895,i_id=24,0
896,show=conproperty.71,0
897,article_id=400&amp;channel_id=4,0
898,mfah0gn30,0
899,option=com_content&amp;task=view&amp;id=278&amp;itemid=324,0
900,resourceid=2094&amp;resourcetype=building,0
901,articleid=1249,0
902,site_id=15,0
903,collection_id=86,0
